4,1568970972.773368
10,1568971572.850013
-1,1568972172.950376
4,1568972173.974429
10,1568972774.018349
-1,1568973374.062427
4,1568973375.080827
10,1568973975.17853
-1,1568974575.276388
4,1568974576.294624
10,1568975176.389352
-1,1568975776.487439
4,1568975777.50486
10,1568976377.604394
-1,1568976977.629458
4,1568976978.647658
10,1568977578.732867
-1,1568978178.832404
4,1568978179.8547
10,1568978779.955574
-1,1568979380.054463
4,1568979381.072375
10,1568979981.172686
-1,1568980581.27191
4,1568980582.292798
10,1568981182.302925
-1,1568981782.402932
4,1568981783.419814
10,1568982383.468913
-1,1568982983.567855
4,1568982984.585374
10,1568983584.685751
-1,1568984184.709937
4,1568984185.728739
10,1568984785.774778
-1,1568985385.872512
4,1568985386.896691
10,1568985986.980707
-1,1568986587.024867
4,1568986588.040021
10,1568987188.093328
-1,1568987788.109767
4,1568987789.127732
10,1568988389.194892
-1,1568988989.291193
4,1568988990.308555
10,1568989590.402761
-1,1568990190.443714
4,1568990191.462811
10,1568990791.530101
-1,1568991391.630809
4,1568991392.648439
10,1568991992.689396
-1,1568992592.737256
4,1568992593.761078
10,1568993193.860397
-1,1568993793.884709
4,1568993794.905865
10,1568994394.959339
-1,1568994995.059463
