4,1569350010.177481
10,1569351210.248708
-1,1569352410.349531
4,1569352411.373275
10,1569353611.379798
-1,1569354811.428701
4,1569354812.447258
10,1569356012.504588
-1,1569357212.604694
4,1569357213.622993
10,1569358413.677451
-1,1569359613.771146
4,1569359614.791409
10,1569360814.89113
-1,1569362014.943421
4,1569362015.961165
10,1569363216.038323
-1,1569364416.132923
4,1569364417.159011
10,1569365617.223539
-1,1569366817.298036
4,1569366818.323426
10,1569368018.41495
-1,1569369218.446826
4,1569369219.470844
10,1569370419.522523
-1,1569371619.620453
4,1569371620.638977
10,1569372820.663508
-1,1569374020.733582
4,1569374021.762409
10,1569375221.840696
-1,1569376421.932207
4,1569376422.948536
10,1569377622.95588
-1,1569378823.052551
4,1569378824.073453
10,1569380024.131179
-1,1569381224.228409
4,1569381225.245832
10,1569382425.252946
-1,1569383625.302861
4,1569383626.326747
10,1569384826.334576
-1,1569386026.377439
4,1569386027.394304
10,1569387227.436357
-1,1569388427.536689
4,1569388428.560519
10,1569389628.659986
-1,1569390828.703217
4,1569390829.721534
10,1569392029.775668
-1,1569393229.831324
4,1569393230.85164
10,1569394430.882443
-1,1569395630.918403
4,1569395631.935062
10,1569396831.979245
-1,1569398031.992714
