4,1569350861.299924
10,1569352061.398048
-1,1569353261.49776
4,1569353262.524546
10,1569354462.599322
-1,1569355662.667153
4,1569355663.688856
10,1569356863.789203
-1,1569358063.791143
4,1569358064.811192
10,1569359264.89056
-1,1569360464.942856
4,1569360465.963822
10,1569361666.063156
-1,1569362866.163561
4,1569362867.184429
10,1569364067.284797
-1,1569365267.383148
4,1569365268.40452
10,1569366468.408371
-1,1569367668.507064
4,1569367669.529552
10,1569368869.583703
-1,1569370069.683999
4,1569370070.70525
10,1569371270.71917
-1,1569372470.735135
4,1569372471.755066
10,1569373671.855405
-1,1569374871.95512
4,1569374872.975315
10,1569376073.075149
-1,1569377273.175502
4,1569377274.196308
10,1569378474.287178
-1,1569379674.299077
4,1569379675.319294
10,1569380875.411274
-1,1569382075.511851
4,1569382076.532501
10,1569383276.614299
-1,1569384476.714173
4,1569384477.73641
10,1569385677.783137
-1,1569386877.883149
4,1569386878.904409
10,1569388078.906577
-1,1569389278.908067
4,1569389279.928963
10,1569390479.982942
-1,1569391680.083149
4,1569391681.10377
10,1569392881.136248
-1,1569394081.23613
4,1569394082.256257
10,1569395282.288612
-1,1569396482.389124
4,1569396483.408922
10,1569397683.507927
-1,1569398883.575458
