# iterator, reward, timestamp 
1,-109.81134449158294,1569901540.0982563
2,-83.33618477501795,1569901544.2053173
3,-85.73782608444148,1569901549.2144687
4,-109.765427110542,1569901553.323556
5,-112.86675364395111,1569901556.3284075
6,-111.2754786452485,1569901559.4322617
7,-116.21243776636237,1569901563.4391584
8,-87.17660385721571,1569901567.5486622
9,-100.01647472381592,1569901570.6579416
10,-84.81777183721056,1569901573.7652478
11,-112.07647286537289,1569901580.8760436
12,-67.95053793052101,1569901583.9857879
13,-101.62699222564697,1569901587.092529
14,-104.94506359100342,1569901591.0995715
15,-86.01028251985358,1569901595.2090445
16,-87.21658964704487,1569901598.2129323
17,-107.03071228407774,1569901601.3192816
18,-77.37123688604407,1569901604.4266062
19,-93.91391277313232,1569901607.5339334
20,-22.986343453314078,1569901610.6399324
21,-21.43207513248343,1569901613.6452484
22,-109.23747911327104,1569901616.7521238
23,-71.52661644000067,1569901619.8600547
24,-110.50307677997081,1569901622.9649615
25,-77.32665778653477,1569901626.0728486
26,-78.9058050715698,1569901630.077918
27,-106.1004409712873,1569901635.1948721
28,-134.9257230758667,1569901638.3027964
29,-109.53903589524151,1569901641.4107385
30,-110.53043542934208,1569901648.4197428
31,-70.11223147504265,1569901651.5273747
32,-52.855398831638674,1569901654.5320368
33,-36.839525719762776,1569901657.5368757
34,-25.074204237063093,1569901660.5419447
35,-25.989493936092362,1569901663.5470014
36,-23.361874896836053,1569901666.5517294
37,-23.169313299542637,1569901669.5569983
38,-24.741897960171652,1569901672.5617034
39,-26.918473433169527,1569901675.5659895
40,-25.221938325386038,1569901678.5702155
41,-24.17903208879242,1569901681.5744035
42,-26.05667617737516,1569901684.5784247
43,-23.83025712188925,1569901687.5834057
44,-22.963297245488672,1569901690.588089
45,-31.505821921061088,1569901693.5924037
46,-22.140109771035554,1569901696.5970607
47,-21.374444984689507,1569901699.6021407
48,-20.562121449918486,1569901702.6063006
49,-22.391200145262935,1569901705.609707
50,-23.114172814066233,1569901708.6153347
51,-19.11891731880999,1569901711.6201544
52,-19.22268482580688,1569901714.625422
53,-21.817498818048804,1569901717.630847
54,-21.67103702489902,1569901720.6354337
55,-26.558681617103485,1569901723.640012
